alpha,n,result
0.8653846153846154,190,1
0.8653846153846154,191,1
0.8653846153846154,192,1
0.8653846153846154,193,1
0.8653846153846154,194,1
0.8653846153846154,195,1
0.8653846153846154,196,1
0.8653846153846154,197,1
0.8653846153846154,198,1
0.8653846153846154,199,1
0.9230769230769231,0,1
0.9230769230769231,1,1
0.9230769230769231,2,1
0.9230769230769231,3,1
0.9230769230769231,4,1
0.9230769230769231,5,1
0.9230769230769231,6,1
0.9230769230769231,7,1
0.9230769230769231,8,1
0.9230769230769231,9,1
0.9230769230769231,10,1
0.9230769230769231,11,1
0.9230769230769231,12,1
0.9230769230769231,13,1
0.9230769230769231,14,1
0.9230769230769231,15,1
0.9230769230769231,16,1
0.9230769230769231,17,1
0.9230769230769231,18,1
0.9230769230769231,19,1
0.9230769230769231,20,1
0.9230769230769231,21,1
0.9230769230769231,22,1
0.9230769230769231,23,1
0.9230769230769231,24,1
0.9230769230769231,25,1
0.9230769230769231,26,1
0.9230769230769231,27,1
0.9230769230769231,28,1
0.9230769230769231,29,1
0.9230769230769231,30,1
0.9230769230769231,31,1
0.9230769230769231,32,1
0.9230769230769231,33,1
0.9230769230769231,34,1
0.9230769230769231,35,1
0.9230769230769231,36,1
0.9230769230769231,37,1
0.9230769230769231,38,1
0.9230769230769231,39,1
0.9230769230769231,40,1
0.9230769230769231,41,1
0.9230769230769231,42,1
0.9230769230769231,43,1
0.9230769230769231,44,1
0.9230769230769231,45,1
0.9230769230769231,46,1
0.9230769230769231,47,1
0.9230769230769231,48,1
0.9230769230769231,49,1
0.9230769230769231,50,1
0.9230769230769231,51,1
0.9230769230769231,52,1
0.9230769230769231,53,1
0.9230769230769231,54,1
0.9230769230769231,55,1
0.9230769230769231,56,1
0.9230769230769231,57,1
0.9230769230769231,58,1
0.9230769230769231,59,1
0.9230769230769231,60,1
0.9230769230769231,61,1
0.9230769230769231,62,1
0.9230769230769231,63,1
0.9230769230769231,64,1
0.9230769230769231,65,1
0.9230769230769231,66,1
0.9230769230769231,67,1
0.9230769230769231,68,1
0.9230769230769231,69,1
0.9230769230769231,70,1
0.9230769230769231,71,1
0.9230769230769231,72,1
0.9230769230769231,73,1
0.9230769230769231,74,1
0.9230769230769231,75,1
0.9230769230769231,76,1
0.9230769230769231,77,1
0.9230769230769231,78,1
0.9230769230769231,79,1
0.9230769230769231,80,1
0.9230769230769231,81,1
0.9230769230769231,82,1
0.9230769230769231,83,1
0.9230769230769231,84,1
0.9230769230769231,85,1
0.9230769230769231,86,1
0.9230769230769231,87,1
0.9230769230769231,88,1
0.9230769230769231,89,1
0.9230769230769231,90,1
0.9230769230769231,91,1
0.9230769230769231,92,1
0.9230769230769231,93,1
0.9230769230769231,94,1
0.9230769230769231,95,1
0.9230769230769231,96,1
0.9230769230769231,97,1
0.9230769230769231,98,1
0.9230769230769231,99,1
0.9230769230769231,100,1
0.9230769230769231,101,1
0.9230769230769231,102,1
0.9230769230769231,103,1
0.9230769230769231,104,1
0.9230769230769231,105,1
0.9230769230769231,106,1
0.9230769230769231,107,1
0.9230769230769231,108,1
0.9230769230769231,109,1
0.9230769230769231,110,1
0.9230769230769231,111,1
0.9230769230769231,112,1
0.9230769230769231,113,1
0.9230769230769231,114,1
0.9230769230769231,115,1
0.9230769230769231,116,1
0.9230769230769231,117,1
0.9230769230769231,118,1
0.9230769230769231,119,1
0.9230769230769231,120,1
0.9230769230769231,121,1
0.9230769230769231,122,1
0.9230769230769231,123,1
0.9230769230769231,124,1
0.9230769230769231,125,1
0.9230769230769231,126,1
0.9230769230769231,127,1
0.9230769230769231,128,1
0.9230769230769231,129,1
0.9230769230769231,130,1
0.9230769230769231,131,1
0.9230769230769231,132,1
0.9230769230769231,133,1
0.9230769230769231,134,1
0.9230769230769231,135,1
0.9230769230769231,136,1
0.9230769230769231,137,1
0.9230769230769231,138,1
0.9230769230769231,139,1
0.9230769230769231,140,1
0.9230769230769231,141,1
0.9230769230769231,142,1
0.9230769230769231,143,1
0.9230769230769231,144,1
0.9230769230769231,145,1
0.9230769230769231,146,1
0.9230769230769231,147,1
0.9230769230769231,148,1
0.9230769230769231,149,1
0.9230769230769231,150,1
0.9230769230769231,151,1
0.9230769230769231,152,1
0.9230769230769231,153,1
0.9230769230769231,154,1
0.9230769230769231,155,1
0.9230769230769231,156,1
0.9230769230769231,157,1
0.9230769230769231,158,1
0.9230769230769231,159,1
0.9230769230769231,160,1
0.9230769230769231,161,1
0.9230769230769231,162,1
0.9230769230769231,163,1
0.9230769230769231,164,1
0.9230769230769231,165,1
0.9230769230769231,166,1
0.9230769230769231,167,1
0.9230769230769231,168,1
0.9230769230769231,169,1
0.9230769230769231,170,1
0.9230769230769231,171,1
0.9230769230769231,172,1
0.9230769230769231,173,1
0.9230769230769231,174,1
0.9230769230769231,175,1
0.9230769230769231,176,1
0.9230769230769231,177,1
0.9230769230769231,178,1
0.9230769230769231,179,1
0.9230769230769231,180,1
0.9230769230769231,181,1
0.9230769230769231,182,1
0.9230769230769231,183,1
0.9230769230769231,184,1
0.9230769230769231,185,1
0.9230769230769231,186,1
0.9230769230769231,187,1
0.9230769230769231,188,1
0.9230769230769231,189,1
0.9230769230769231,190,1
0.9230769230769231,191,1
0.9230769230769231,192,1
0.9230769230769231,193,1
0.9230769230769231,194,1
0.9230769230769231,195,1
0.9230769230769231,196,1
0.9230769230769231,197,1
0.9230769230769231,198,1
0.9230769230769231,199,1
0.9807692307692308,0,1
0.9807692307692308,1,1
0.9807692307692308,2,1
0.9807692307692308,3,1
0.9807692307692308,4,1
0.9807692307692308,5,1
0.9807692307692308,6,1
0.9807692307692308,7,1
0.9807692307692308,8,1
0.9807692307692308,9,1
0.9807692307692308,10,1
0.9807692307692308,11,1
0.9807692307692308,12,1
0.9807692307692308,13,1
0.9807692307692308,14,1
0.9807692307692308,15,1
0.9807692307692308,16,1
0.9807692307692308,17,1
0.9807692307692308,18,1
0.9807692307692308,19,1
0.9807692307692308,20,1
0.9807692307692308,21,1
0.9807692307692308,22,1
0.9807692307692308,23,1
0.9807692307692308,24,1
0.9807692307692308,25,1
0.9807692307692308,26,1
0.9807692307692308,27,1
0.9807692307692308,28,1
0.9807692307692308,29,1
0.9807692307692308,30,1
0.9807692307692308,31,1
0.9807692307692308,32,1
0.9807692307692308,33,1
0.9807692307692308,34,1
0.9807692307692308,35,1
0.9807692307692308,36,1
0.9807692307692308,37,1
0.9807692307692308,38,1
0.9807692307692308,39,1
0.9807692307692308,40,1
0.9807692307692308,41,1
0.9807692307692308,42,1
0.9807692307692308,43,1
0.9807692307692308,44,1
0.9807692307692308,45,1
0.9807692307692308,46,1
0.9807692307692308,47,1
0.9807692307692308,48,1
0.9807692307692308,49,1
0.9807692307692308,50,1
0.9807692307692308,51,1
0.9807692307692308,52,1
0.9807692307692308,53,1
0.9807692307692308,54,1
0.9807692307692308,55,1
0.9807692307692308,56,1
0.9807692307692308,57,1
0.9807692307692308,58,1
0.9807692307692308,59,1
0.9807692307692308,60,1
0.9807692307692308,61,1
0.9807692307692308,62,1
0.9807692307692308,63,1
0.9807692307692308,64,1
0.9807692307692308,65,1
0.9807692307692308,66,1
0.9807692307692308,67,1
0.9807692307692308,68,1
0.9807692307692308,69,1
0.9807692307692308,70,1
0.9807692307692308,71,1
0.9807692307692308,72,1
0.9807692307692308,73,1
0.9807692307692308,74,1
0.9807692307692308,75,1
0.9807692307692308,76,1
0.9807692307692308,77,1
0.9807692307692308,78,1
0.9807692307692308,79,1
0.9807692307692308,80,1
0.9807692307692308,81,1
0.9807692307692308,82,1
0.9807692307692308,83,1
0.9807692307692308,84,1
0.9807692307692308,85,1
0.9807692307692308,86,1
0.9807692307692308,87,1
0.9807692307692308,88,1
0.9807692307692308,89,1
0.9807692307692308,90,1
0.9807692307692308,91,1
0.9807692307692308,92,1
0.9807692307692308,93,1
0.9807692307692308,94,1
0.9807692307692308,95,1
0.9807692307692308,96,1
0.9807692307692308,97,1
0.9807692307692308,98,1
0.9807692307692308,99,1
0.9807692307692308,100,1
0.9807692307692308,101,1
0.9807692307692308,102,1
0.9807692307692308,103,1
0.9807692307692308,104,1
0.9807692307692308,105,1
0.9807692307692308,106,1
0.9807692307692308,107,1
0.9807692307692308,108,1
0.9807692307692308,109,1
0.9807692307692308,110,1
0.9807692307692308,111,1
0.9807692307692308,112,1
0.9807692307692308,113,1
0.9807692307692308,114,1
0.9807692307692308,115,1
0.9807692307692308,116,1
0.9807692307692308,117,1
0.9807692307692308,118,1
