P,Q,t,eta,E,E_test
2000,200,400,0.05,0.0792904579481082,0.07041262740516221
2000,200,450,0.05,0.07379711422832819,0.06595060918831261
2000,200,500,0.05,0.06993356658220663,0.06442689917717889
2000,200,550,0.05,0.061617035111205434,0.06098217750868154
2000,200,600,0.05,0.055234003000041845,0.05453037966752292
2000,200,650,0.05,0.05219873344173141,0.054822902320005786
2000,200,700,0.05,0.05056602861282146,0.054447290952458385
2000,200,750,0.05,0.048886881800063293,0.05257496494967042
2000,200,800,0.05,0.049365809209762204,0.053620421987023076
2000,200,850,0.05,0.04802883511362619,0.05250770517720788
2000,200,900,0.05,0.046866990239808295,0.051646539590064405
2000,200,950,0.05,0.04606879796886804,0.05051198956604894
2000,200,1000,0.05,0.04544615964469679,0.04983498739334886
2000,200,1050,0.05,0.0449545623069175,0.05018794156831143
2000,200,1100,0.05,0.04454919003869649,0.04962904932573855
2000,200,1150,0.05,0.04409603429751974,0.048899168002016824
2000,200,1200,0.05,0.0443004053553278,0.04890117125422919
2000,200,1250,0.05,0.04374538337368299,0.04796539259420559
2000,200,1300,0.05,0.04292356678633038,0.04692535246445262
2000,200,1350,0.05,0.04276470804346898,0.046842060921476476
2000,200,1400,0.05,0.043038935246796056,0.04675605559382541
2000,200,1450,0.05,0.043084602416857146,0.04675047318081091
2000,200,1500,0.05,0.04304338230335778,0.04673202958132814
2000,200,1550,0.05,0.04520903952660383,0.050640965675779324
2000,200,1600,0.05,0.043908522928444035,0.04907558308549659
2000,200,1650,0.05,0.04318589106522442,0.04811609247640277
2000,200,1700,0.05,0.04294561286866187,0.04752071375740395
2000,200,1750,0.05,0.042483687155180985,0.04722298241962173
2000,200,1800,0.05,0.042168915650501515,0.047253656544481035
2000,200,1850,0.05,0.04144370809030136,0.04600774608008429
2000,200,1900,0.05,0.04177562756616161,0.0462540641921328
2000,200,1950,0.05,0.041509549305119124,0.045662816659311094
2000,200,2000,0.05,0.04130528126083303,0.044854317037959474
2000,200,2050,0.05,0.041345666245186416,0.04500356039702292
2000,200,2100,0.05,0.04128799797411095,0.044829160203903734
2000,200,2150,0.05,0.041054616534095395,0.0444102258690255
2000,200,2200,0.05,0.04127853527166862,0.04372840408661647
2000,200,2250,0.05,0.041315929422830834,0.043829119026126497
2000,200,2300,0.05,0.04107577738423497,0.04391961657901728
2000,200,2350,0.05,0.04073162748330416,0.04366403044647668
2000,200,2400,0.05,0.04073229690193208,0.043773048008141996
2000,200,2450,0.05,0.04066279985768554,0.04370638142479038
2000,200,2500,0.05,0.040752517266563294,0.04408061887153762
2000,200,2550,0.05,0.04057219278694697,0.04380685256851493
2000,200,2600,0.05,0.04037076555555006,0.04393704169002013
2000,200,2650,0.05,0.04018351011712175,0.04453201221989784
2000,200,2700,0.05,0.03999847472780099,0.044257737935989555
2000,200,2750,0.05,0.03982730977748838,0.0440789380340767
2000,200,2800,0.05,0.04007644939048022,0.04387387094413979
2000,200,2850,0.05,0.04139438217722067,0.04462466753270382
2000,200,2900,0.05,0.04263228120533572,0.045477862307480764
2000,200,2950,0.05,0.041995886337086195,0.04455007219387869
2000,200,3000,0.05,0.04259121199115196,0.04493030039595007
2000,200,3050,0.05,0.04177711555466266,0.04395615319461613
2000,200,3100,0.05,0.041598394116782796,0.04366492122600749
2000,200,3150,0.05,0.04137426777425896,0.043368430704409607
2000,200,3200,0.05,0.041012838127756496,0.04350036746434683
2000,200,3250,0.05,0.04077554944130869,0.04373675306097526
2000,200,3300,0.05,0.04038658287173255,0.04416469938946713
2000,200,3350,0.05,0.03961777134732272,0.04283554571352319
2000,200,3400,0.05,0.040578932706111806,0.0438519383582336
2000,200,3450,0.05,0.04008849067151871,0.04290209369774239
2000,200,3500,0.05,0.03987188703910568,0.0422178093505995
2000,200,3550,0.05,0.039409685029196215,0.04211137540075792
2000,200,3600,0.05,0.03946321689162703,0.042267354965132065
2000,200,3650,0.05,0.03923784310559785,0.042091323231818245
2000,200,3700,0.05,0.03928757054304165,0.041994993632117714
2000,200,3750,0.05,0.03931760789317568,0.042552045960970945
2000,200,3800,0.05,0.03899664999711304,0.041940612128563155
2000,200,3850,0.05,0.0387796494901399,0.04274851413163465
2000,200,3900,0.05,0.03919629266044703,0.043532406010558244
2000,200,3950,0.05,0.03940577066553204,0.04337161576069214
2000,200,4000,0.05,0.03933444615922687,0.043344071486455
2000,200,4050,0.05,0.03903801354501541,0.04372116914307387
2000,200,4100,0.05,0.038525530332811635,0.042850421494497234
2000,200,4150,0.05,0.039149504915261486,0.04407990103160594
2000,200,4200,0.05,0.03881285438997933,0.04348257287354942
2000,200,4250,0.05,0.03847791620436958,0.04350985139908722
2000,200,4300,0.05,0.0385354885603667,0.044483310065668205
2000,200,4350,0.05,0.0382630884399341,0.042960805149071926
2000,200,4400,0.05,0.03949350589788456,0.044425752699658136
2000,200,4450,0.05,0.03815352423335527,0.04214617874909445
2000,200,4500,0.05,0.03808168784857278,0.04192369499979053
2000,200,4550,0.05,0.03807795734572169,0.04164169135488379
2000,200,4600,0.05,0.03803790845445362,0.04114564353455018
2000,200,4650,0.05,0.03747670590721196,0.04054182666885093
2000,200,4700,0.05,0.03750704795083319,0.040416388958932695
2000,200,4750,0.05,0.03703272847566695,0.03972536065346341
2000,200,4800,0.05,0.03738416077454445,0.04124400870301627
2000,200,4850,0.05,0.037987613896829225,0.04251668096456945
2000,200,4900,0.05,0.037715535453394594,0.04222749642177764
2000,200,4950,0.05,0.037128983649471314,0.042255277091320625
2000,200,0,0.05,0.5072763356856398,0.5625291096958176
2000,200,50,0.05,0.44631513173641923,0.5864742044150814
2000,200,100,0.05,0.2976184387048528,0.3774087745768783
2000,200,150,0.05,0.19345824871470407,0.22149504778648527
2000,200,200,0.05,0.154437816176313,0.18946356869236772
2000,200,250,0.05,0.14358897535001947,0.17555830962163277
2000,200,300,0.05,0.11582252298274,0.1271986748073941
2000,200,350,0.05,0.07809726402158372,0.09245579928351225
2000,200,400,0.05,0.06835725502580758,0.07970306972061508
2000,200,450,0.05,0.06321002414350613,0.07315423312328023
2000,200,500,0.05,0.05826466336510794,0.06831734109594036
2000,200,550,0.05,0.05364236879485305,0.06391417279063333
2000,200,600,0.05,0.04995968254365344,0.057815673802405355
2000,200,650,0.05,0.04957902803563734,0.05724309894169427
2000,200,700,0.05,0.04553119252706774,0.049290454421342424
2000,200,750,0.05,0.04477296252114878,0.04766044558017201
2000,200,800,0.05,0.0438720905237278,0.04663975837298581
2000,200,850,0.05,0.04245192722957866,0.04346166540519466
2000,200,900,0.05,0.04183922533114022,0.04418186574076608
2000,200,950,0.05,0.04138424685766194,0.043844818035054745
2000,200,1000,0.05,0.04134352499084783,0.044270522101794434
2000,200,1050,0.05,0.039673745169409885,0.04134106507462226
2000,200,1100,0.05,0.03947326346172199,0.040357635644785735
2000,200,1150,0.05,0.03937474853784966,0.039556255729817434
2000,200,1200,0.05,0.038735412201355415,0.038814499850793396
